Sat. Sep.  5, 2020             LANDSAT 7                 Time: 15:57
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 168 / 018

L0R Reference Image: L71SG11114266080100_HDF.201742232
Acquisition Date: Sep 23, 2014

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
166   018   07-03-2001, 05-17-2016
166   019   07-06-2002, 08-21-2016
167   019   10-09-1999, 05-08-2016
168   017   05-11-2000, 05-15-2016
168   018   05-11-2000, 05-15-2016
168   019   05-11-2000, 05-15-2016
169   017   05-05-2001, 05-30-2013
169   018   09-10-2001, 05-06-2016
170   017   09-17-2001, 05-11-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1660180004_01   59.784166   57.642398   246.936       0.518     0.809     0.276     0.933
1660180008_01   59.707619   57.238520   162.151      -0.205    -6.855     1.873    -6.592
1660180010_01   60.569129   57.781527   185.097      -1.372    -3.343    -0.293    -3.593
1660180026_01   60.366451   57.710831   189.835      -3.725    -5.823    -1.796    -6.661
1660180030_01   60.412656   57.683722   197.017      -0.522    -5.485     1.157    -5.381
1660180037_01   60.497247   57.683773   132.577      -0.921     4.705    -2.263     4.218
1660180038_01   60.022048   57.566398   237.964       1.855    -6.905     3.851    -6.023
1660180039_01   60.049397   57.463842   135.989      -1.716     3.591    -2.689     2.917
1660180040_01   59.876294   57.338249   138.964      -0.634    -1.083    -0.261    -1.217
1660180047_01   60.389849   57.545843   337.681       5.884     3.488     4.586     5.087
1660180053_01   60.022128   57.284295   162.729       0.035    -2.575     0.819    -2.440
1660180059_01   60.531595   57.690446   138.046       2.534     4.859     0.986     5.396
1660180065_01   60.083163   57.442184   139.177      -7.131     2.959    -7.665     0.695
1660180067_01   59.867166   57.500966   163.695       3.833    -2.763     4.502    -1.482
1660180069_01   59.677142   57.246264   155.980      -0.051    -1.001     0.270    -0.964
1660180074_01   60.133298   57.327865   140.355       5.261    -0.382     5.148     1.213
1660180078_01   59.861820   57.298487   155.268       3.434    -5.234     4.857    -3.958
